Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Shubman Gill,16,11,4,0,145.50,Right hand Bat,Top order Batter,2,"1,2,3"
Virat Kohli,16,18,3,0,88.90,Right hand Bat,Top order Batter,3,"2,3,4"
Shreyas Iyer,53,62,3,2,85.50,Right hand Bat,Top order Batter,4,"3,4,5"
KL Rahul,19,29,2,0,65.50,Right hand Bat,Opening Batter,5,"4,5,6"
Rahmanullah Gurbaz,80,57,8,4,140.40,Right hand Bat,Wicketkeeper Batter,1,1
Ibrahim Zadran,28,48,3,0,58.30,Right hand Bat,Opening Batter,2,"1,2,3"
Rahmat Shah,3,8,0,0,37.50,Right hand Bat,Top order Batter,3,"2,3,4"
Hashmatullah Shahidi,14,36,0,0,38.90,Left hand Bat,Top order Batter,4,"3,4,5"
Azmatullah Omarzai,19,24,1,1,79.20,Right hand Bat,Allrounder,5,"4,5,6"
Ikram Alikhil,58,66,3,2,87.90,Left hand Bat,Wicketkeeper Batter,6,"5,6,7"
Mohammad Nabi,9,15,1,0,60.00,Right hand Bat,Allrounder,7,"6,7,8"
Rashid Khan,23,22,3,0,104.50,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Mujeeb Ur Rahman,28,16,3,1,175.00,Right hand Bat,Bowler,9,"8,9,10"
Naveen-ul-Haq,5,6,1,0,83.30,Right hand Bat,Bowler,10,"9,10,11"
Fazalhaq Farooqi,2,4,0,0,50.00,Right hand Bat,Bowler,11,"10,11"
Jonny Bairstow,2,4,0,0,50.00,Right hand Bat,Wicketkeeper Batter,1,1
Dawid Malan,32,39,4,0,82.10,Left hand Bat,Top order Batter,2,"1,2,3"
Joe Root,11,17,2,0,64.70,Right hand Bat,Top order Batter,3,"2,3,4"
Harry Brook,66,61,7,1,108.20,Right hand Bat,Batter,4,"3,4,5"
Jos Buttler,9,18,1,0,50.00,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Liam Livingstone,10,14,1,0,71.40,Right hand Bat,Batting Allrounder,6,"5,6,7"
Sam Curran,10,23,0,0,43.50,Left hand Bat,Allrounder,7,"6,7,8"
Chris Woakes,9,26,1,0,34.60,Right hand Bat,Allrounder,8,"7,8,9"
Adil Rashid,20,13,2,0,153.80,Right hand Bat,Bowler,9,"8,9,10"
Mark Wood,18,22,3,0,81.80,Right hand Bat,Bowler,10,"9,10,11"
Reece Topley,15,7,3,0,214.30,Left hand Bat,Bowler,11,"10,11"
Pathum Nissanka,61,67,8,0,91.00,Right hand Bat,Top order Batter,1,1
Kusal Janith Perera,78,82,12,0,95.10,Left hand Bat,Top order Batter,2,"1,2,3"
Kusal Mendis,9,13,0,0,69.20,Right hand Bat,Wicketkeeper Batter,3,"2,3,4"
Sadeera Samarawickrama,8,8,1,0,100.00,Right hand Bat,Top order Batter,4,"3,4,5"
Charith Asalanka,25,39,0,1,64.10,Left hand Bat,Batting Allrounder,5,"4,5,6"
Dhananjaya de Silva,7,13,1,0,53.80,Right hand Bat,Allrounder,6,"5,6,7"
Chamika Karunaratne,2,11,0,0,18.20,Right hand Bat,Bowling Allrounder,8,"7,8,9"
Maheesh Theekshana,0,5,0,0,0.00,Right hand Bat,Bowler,9,"8,9,10"
Lahiru Kumara,4,8,1,0,50.00,Left hand Bat,Bowler,10,"9,10,11"
Mitchell Marsh,52,51,9,0,102.00,Right hand Bat,Allrounder,1,1
David Warner,11,6,0,1,183.30,Left hand Bat,Opening Batter,2,"1,2,3"
Steve Smith,0,5,0,0,0.00,Right hand Bat,Top order Batter,3,"2,3,4"
Marnus Labuschagne,40,60,2,0,66.70,Right hand Bat,Top order Batter,4,"3,4,5"
Josh Inglis,58,59,5,1,98.30,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Glenn Maxwell,31,21,4,2,147.60,Right hand Bat,Batting Allrounder,6,"5,6,7"
Marcus Stoinis,20,10,2,1,200.00,Right hand Bat,Batting Allrounder,7,"6,7,8"
Vikramjit Singh,2,16,0,0,12.50,Left hand Bat,Opening Batter,1,1
Max O'Dowd,18,25,4,0,72.00,Right hand Bat,Opening Batter,2,"1,2,3"
