Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
David Miller,43,52,4,1,82.7,Middle order Batter,"5,6,7"
Marco Jansen,9,25,0,0,36,Allrounder,"6,7,8"
Gerald Coetzee,22,23,2,1,95.7,Bowler,"7,8,9"
Keshav Maharaj,40,37,5,1,108.1,Bowler,"8,9,10"
Kagiso Rabada,9,6,0,1,150,Bowler,"9,10,11"
Lungi Ngidi,7,24,0,0,29.2,Bowler,"10,11"
Devon Conway,20,18,3,0,111.1,Wicketkeeper Batter,1
Will Young,54,64,4,3,84.4,Top order Batter,"1,2,3"
Rachin Ravindra,32,41,2,1,78,Top order Batter,"2,3,4"
Daryl Mitchell,1,7,0,0,14.3,Allrounder,"3,4,5"
Tom Latham,68,74,3,2,91.9,Top order Batter,"4,5,6"
Glenn Phillips,71,80,4,4,88.8,Wicketkeeper Batter,"5,6,7"
Mark Chapman,25,12,2,1,208.3,Middle order Batter,"6,7,8"
Mitchell Santner,7,5,1,0,140,Bowling Allrounder,"7,8,9"
Rahmanullah Gurbaz,11,21,0,1,52.4,Wicketkeeper Batter,1
Ibrahim Zadran,14,15,2,0,93.3,Opening Batter,"1,2,3"
Rahmat Shah,36,62,1,0,58.1,Top order Batter,"2,3,4"
Hashmatullah Shahidi,8,29,1,0,27.6,Top order Batter,"3,4,5"
Azmatullah Omarzai,27,32,2,0,84.4,Allrounder,"4,5,6"
Ikram Alikhil,19,21,3,0,90.5,Wicketkeeper Batter,"5,6,7"
Mohammad Nabi,7,9,1,0,77.8,Allrounder,"6,7,8"
Rashid Khan,8,13,0,1,61.5,Bowling Allrounder,"7,8,9"
Mujeeb Ur Rahman,4,3,1,0,133.3,Bowler,"8,9,10"
Naveen-ul-Haq,0,1,0,0,0,Bowler,"9,10,11"
Fazalhaq Farooqi,0,2,0,0,0,Bowler,"10,11"
Tanzid Hasan,51,43,5,3,118.6,Top order Batter,1
Litton Das,66,82,7,0,80.5,Wicketkeeper Batter,"1,2,3"
Najmul Hossain Shanto,8,17,0,0,47.1,Top order Batter,"2,3,4"
Mehidy Hasan Miraz,3,13,0,0,23.1,Allrounder,"3,4,5"
Towhid Hridoy,16,35,0,0,45.7,Middle order Batter,"4,5,6"
Mushfiqur Rahim,38,46,1,1,82.6,Middle order Batter,"5,6,7"
Mahmudullah,46,36,3,3,127.8,Middle order Batter,"6,7,8"
Nasum Ahmed,14,18,2,0,77.8,Bowler,"7,8,9"
Mustafizur Rahman,1,7,0,0,14.3,Bowler,"8,9,10"
Shoriful Islam,7,3,0,1,233.3,Bowler,"9,10,11"
Rohit Sharma,48,40,7,2,120,Top order Batter,1
Shubman Gill,53,55,5,2,96.4,Top order Batter,"1,2,3"
Virat Kohli,103,97,6,4,106.2,Top order Batter,"2,3,4"
Shreyas Iyer,19,25,2,0,76,Top order Batter,"3,4,5"
KL Rahul,34,34,3,1,100,Opening Batter,"4,5,6"
